name,rating,genre,year,score,director,budget,gross,company,time
The Shining,R,Drama,1980,8.4,Stanley Kubrick,19000000.0,46998772.0,Warner Bros.,1980's
The Blue Lagoon,R,Adventure,1980,5.8,Randal Kleiser,4500000.0,58853106.0,Columbia Pictures,1980's
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,Irvin Kershner,18000000.0,538375067.0,Lucasfilm,1980's
Airplane!,PG,Comedy,1980,7.7,Jim Abrahams,3500000.0,83453539.0,Paramount Pictures,1980's
Caddyshack,R,Comedy,1980,7.3,Harold Ramis,6000000.0,39846344.0,Orion Pictures,1980's
Friday the 13th,R,Horror,1980,6.4,Sean S. Cunningham,550000.0,39754601.0,Paramount Pictures,1980's
The Blues Brothers,R,Action,1980,7.9,John Landis,27000000.0,115229890.0,Universal Pictures,1980's
Raging Bull,R,Biography,1980,8.2,Martin Scorsese,18000000.0,23402427.0,Chartoff-Winkler Productions,1980's
Superman II,PG,Action,1980,6.8,Richard Lester,54000000.0,108185706.0,Dovemead Films,1980's
The Long Riders,R,Biography,1980,7.0,Walter Hill,10000000.0,15795189.0,United Artists,1980's
Any Which Way You Can,PG,Action,1980,6.1,Buddy Van Horn,15000000.0,70687344.0,The Malpaso Company,1980's
The Gods Must Be Crazy,PG,Adventure,1980,7.3,Jamie Uys,5000000.0,30031783.0,C.A.T. Films,1980's
Popeye,PG,Adventure,1980,5.3,Robert Altman,20000000.0,49823037.0,Paramount Pictures,1980's
Ordinary People,R,Drama,1980,7.7,Robert Redford,6000000.0,54766923.0,Paramount Pictures,1980's
Dressed to Kill,R,Crime,1980,7.1,Brian De Palma,6500000.0,31899000.0,Filmways Pictures,1980's
Somewhere in Time,PG,Drama,1980,7.2,Jeannot Szwarc,5100000.0,9709597.0,Rastar Pictures,1980's
Fame,R,Drama,1980,6.6,Alan Parker,35633551.262477234,21202829.0,Metro-Goldwyn-Mayer (MGM),1980's
9 to 5,PG,Comedy,1980,6.9,Colin Higgins,10000000.0,103300686.0,IPC Films,1980's
The Fog,R,Horror,1980,6.8,John Carpenter,1000000.0,21448782.0,AVCO Embassy Pictures,1980's
Stir Crazy,R,Comedy,1980,6.8,Sidney Poitier,35633551.262477234,101300000.0,Columbia Pictures,1980's
Cruising,R,Crime,1980,6.5,William Friedkin,11000000.0,19814523.0,Lorimar Film Entertainment,1980's
Heaven's Gate,R,Adventure,1980,6.8,Michael Cimino,44000000.0,3484523.0,Partisan Productions,1980's
The Final Countdown,PG,Action,1980,6.7,Don Taylor,12000000.0,16647800.0,Bryna Productions,1980's
Xanadu,PG,Fantasy,1980,5.3,Robert Greenwald,20000000.0,22762571.0,Universal Pictures,1980's
Urban Cowboy,PG,Drama,1980,6.4,James Bridges,35633551.262477234,46918287.0,Paramount Pictures,1980's
Altered States,R,Horror,1980,6.9,Ken Russell,35633551.262477234,19853892.0,Warner Bros.,1980's
Little Darlings,R,Comedy,1980,6.5,Ron Maxwell,35633551.262477234,34326249.0,Stephen Friedman/Kings Road Productions,1980's
Raise the Titanic,PG,Action,1980,5.0,Jerry Jameson,36000000.0,78599553.90186103,ITC Films,1980's
Brubaker,R,Crime,1980,7.2,Stuart Rosenberg,9000000.0,37121708.0,Twentieth Century Fox,1980's
American Gigolo,R,Crime,1980,6.2,Paul Schrader,4800000.0,22743674.0,Paramount Pictures,1980's
